Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,References,Correspondence Address,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Tomlin C.D.","",[No title available],1990,"Geographic Information Systems and Cartographic Modeling",,,,"","",,721,,,,"Tomlin, C.D.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",Scopus,2-s2.0-0003919750
"Kitanidis P.K.","",[No title available],1997,"Introduction to Geostatistics: Applications in Hydrogeology",,,,"249","",,715,,,,"Kitanidis, P.K.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",Scopus,2-s2.0-0003826498
"Gandin L.S.","",[No title available],1963,"Objective Analysis of Meteorological Fields",,,,"","",,702,,,,"Gandin, L.S.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",Scopus,2-s2.0-0003497202
"Morton G.M.","","A computer oriented geodetic data base and a new technique in file sequencing",1966,"A Computer Oriented Geodetic Data Base and a New Technique in File Sequencing",,,,"","",,691,,,,"Morton, G.M.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",Scopus,2-s2.0-0003460690
"Slocum T.A.","",[No title available],1999,"Thematic Cartography and Visualization",,,,"","",,676,,,,"Slocum, T.A.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",Scopus,2-s2.0-0003862318
"Briggs I.C.","","Machine contouring using minimum curvature",1974,"Geophysics","39","1",,"39","48",,673,,,,"Briggs, I.C.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",Scopus,2-s2.0-0002161735
"Mitchell A.R.","",[No title available],1969,"Computational Methods in Partial Differential Equations",,,,"","",,673,,,,"Mitchell, A.R.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",Scopus,2-s2.0-0003646470
"Wilson A.G.","7404870460;","A statistical theory of spatial distribution models",1967,"Transportation Research","1","3",,"253","269",,659,"10.1016/0041-1647(67)90035-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002353295&doi=10.1016%2f0041-1647%2867%2990035-4&partnerID=40&md5=4ec98eb1c1f83c00895784a40d58ef85","Economic Planning Group, Ministry of Transport, London, England, United Kingdom","Wilson, A.G., Economic Planning Group, Ministry of Transport, London, England, United Kingdom",[No abstract available],,,,,,,,,,,,,,,,,,,"Wilson, A.G.; Economic Planning Group, , London, England, United Kingdom",,,,,,,,00411647,,,,"English",,Article,"Final","",Scopus,2-s2.0-0002353295
"David M.","",[No title available],1977,"Geostatistical Ore Reserve Estimation",,,,"","",,654,,,,"David, M.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",Scopus,2-s2.0-0003456946
"Morisita M.","","Measuring of the dispersion of individuals and analysis of the distributional patterns",1959,"Mem. Fac. Sci. Kyushu Univ. Ser. E Biol.","2",,,"215","235",,654,,,,"Morisita, M.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",Scopus,2-s2.0-0001020038
