Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count
027-679-872-504-69X,"Knochen, Gelenke, Muskein",,1943,journal article,Zeitschrift für Krebsforschung,01715216; 14321335,Springer Science and Business Media LLC,,null Maske; null Tobler; null Gebele; null Henze; H. Lossen; null Sunder-Plassmann; null Koch; null Stahnke; null Goebel; null Zwerg,,53,S1,55,58,,,,,,,http://dx.doi.org/10.1007/bf01621393,,10.1007/bf01621393,,,0,,0
028-346-984-735-549,Notes on Two Projections,,1966,journal article,The Cartographic Journal,00087041; 17432774,Informa UK Limited,United Kingdom,Waldo R. Tobler,"Abstract The development of projections with loxodromic properties is considered with regard to the azimuthal equidistant, and an example is given centred at 45°N, 0°E. The nature and value of the two-point equidistant projection is discussed and an example given centred on London and Wellington.",3,2,87,89,Equidistant; Azimuth; Azimuthal equidistant projection; Geography; Geometry; Value (mathematics); Development (differential geometry),,,,,http://openurl.ingenta.com/content/xref?genre=article&issn=0008-7041&volume=3&issue=2&spage=87 http://www.tandfonline.com/doi/full/10.1179/caj.1966.3.2.87 http://www.maneyonline.com/doi/citedby/10.1179/caj.1966.3.2.87,http://dx.doi.org/10.1179/caj.1966.3.2.87,,10.1179/caj.1966.3.2.87,1964002323,,0,013-245-156-309-168,5
028-469-751-305-29X,Einzelreferate und Buchbesprechungen,,1923,journal article,Klinische Wochenschrift,00232173; 14321440,Springer Science and Business Media LLC,,C. Noorden; null Morawitz; W. Weiland; null Freudenberg; Emil Neisser; null Tobler; null Meyer; null Oppenheimer; null Griesbach; null Dietrich; null Hellwig; null Roseno; null Vaternahm; null Dietlen; null Frik; null Flaskamp; null Schiff; null Putter; null Schmitz; null Deusch; null Braun; Erich Meyer; null Herzfeld; null Christeller; null Kuhn; null Dietrich; null Schrader; null Jonas; null Loewy-Hattendorf; null Mendel; null Steiner; null Henning; null Goldstein,,2,20,940,947,,,,,,,http://dx.doi.org/10.1007/bf01722566,,10.1007/bf01722566,,,0,,0
030-123-592-713-635,Polycylindric Map Projections,,1986,journal article,The American Cartographer,00941689,Informa UK Limited,United States,Waldo R. Tobler,"Specific polycylindric map projections are derived and illustrated, one of which is equal area. Equations are given for the entire class of polycylindric projections.",13,2,117,120,Combinatorics; Class (set theory); Map projection; Mathematics,,,,,https://www.tandfonline.com/doi/abs/10.1559/152304086783900040,http://dx.doi.org/10.1559/152304086783900040,,10.1559/152304086783900040,2010871529,,0,052-726-615-663-804,4
030-388-343-797-413,Ostitis fibrosa cystica generalisata im Kindesalter,,1926,journal article,Zeitschrift für Kinderheilkunde,03406199; 14321076,Springer Science and Business Media LLC,Germany,W. Tobler,,41,3,334,355,Dermatology; Medicine,,,,,https://link.springer.com/article/10.1007/BF02225054,http://dx.doi.org/10.1007/bf02225054,,10.1007/bf02225054,2006910511,,0,079-809-033-002-372; 119-861-241-749-099,8
031-437-710-664-319,Einzelreferate und Buchbesprechungen,,1922,journal article,Klinische Wochenschrift,00232173; 14321440,Springer Science and Business Media LLC,,null Hueppe; W. V. Simon; null Bloch; null Valentin; H. Hirschfeld; null v. Meyenburg; null Tobler; null Hayward; null Frik; null Griesbach; W. Heubner; null Starkenstein; null Flaskamp; null Dessecker; null Edens; null Oppenheimer; null Dietlen; Emil Neisser; null Koenigsfeld; null Fischer; null Westenhöfer; null Tuberkulose; null Schmitz; null Deusch; null Eckstein; null Simon; A. W. Ficher; null Schlesinger; null Weigert; null Eisner-Behrend; null Mendelsohn; null Christeller; null Dietrich; null Jonas; null Schrader; null v. Weizsäcker; null Loewy; null Loewy-Hattendorf; null Naef; Kurt Steindorff; null Igersmeimer; null Steindorff; null Köllner; null Meesmann; null Mendel; null Lange; null Tonndorf; null Breuer; null Preuss; null Sturmann,,1,49,2441,2449,,,,,,,http://dx.doi.org/10.1007/bf01725122,,10.1007/bf01725122,,,0,,0
031-588-103-604-080,Bacteriological study on incubators and boxes for premature infants,1955-05-22,1955,journal article,La semaine des hopitaux : organe fonde par l'Association d'enseignement medical des hopitaux de Paris,,,France,W Tobler; W Meyer; V Siegenthaler,,31,31/3,1776,1778,Pediatrics; Medicine,"ANTISEPSIS AND ASEPSIS; INFANT, PREMATURE","Antisepsis; Asepsis; Humans; Incubators; Infant; Infant, Newborn; Infant, Premature",,,http://europepmc.org/abstract/MED/14396403 https://www.ncbi.nlm.nih.gov/pubmed/14396403,https://www.ncbi.nlm.nih.gov/pubmed/14396403,14396403,,2418011006,,0,,0
032-021-857-046-07X,"Contribution to knowledge of the cong. Hyporhinia, resp. the archinencephaly.",,1946,journal article,Annales paediatrici. International review of pediatrics,03654966,,Switzerland,W Tobler,,167,6,309,314,Theology; Medicine,ARCHIENCEPHALY; CRANIUM/abnormalities; HYPORHINIA; NOSE/abnormalities,Craniofacial Abnormalities; Humans; Musculoskeletal Abnormalities; Nose/abnormalities; Skull/abnormalities,,,http://www.ncbi.nlm.nih.gov/pubmed/20295447,https://www.ncbi.nlm.nih.gov/pubmed/20295447,20295447,,3091052354,,0,,0
032-308-781-378-569,,,2019,journal article,Journal of Mormon History,00947342,University of Illinois Press,,null Tobler,,45,1,146,,,,,,,,http://dx.doi.org/10.5406/jmormhist.45.1.0146,,10.5406/jmormhist.45.1.0146,,,0,,0
032-504-826-608-347,Einzelreferate und Buchbesprechungen,,1922,journal article,Klinische Wochenschrift,00232173; 14321440,Springer Science and Business Media LLC,,null Neisser; null Deusch; null Weigert; null Kobrak; null Eckstein; null Rosenow; null Tobler; null Oppenheimer; null Holzer; null Finkenrath; null Dessecker; A. W. Fischer; null Zuntz; null Peiper; null Simon; null Hoffa; null Eisner-Behrend; null Seligmann; null Braun; null Zinn; null Dietlen; null Levinger; null Kaufmann; null Reiss; null Schlesinger; null Hayward; null Desseker; null Eisner; H. Hirschfeld; null Griesbach; null Dreyfuss; Heinrich Davidsohn; null Freudenberg; null Jonas; V. Jaschke; null Dietrich; null Teleky; null Schönberg,,1,18,910,917,,,,,,,http://dx.doi.org/10.1007/bf01715876,,10.1007/bf01715876,,,0,,0
032-854-699-725-291,Spherical Quadrilateral to Map Scale Conversion,,1989,journal article,The American Cartographer,00941689,Informa UK Limited,United States,Waldo R. Tobler,"(1989). Spherical Quadrilateral to Map Scale Conversion. The American Cartographer: Vol. 16, No. 1, pp. 54-54.",16,1,54,54,Quadrilateral; Geometry; Computer science,,,,,https://www.tandfonline.com/doi/full/10.1559/152304089783875640 https://cogentoa.tandfonline.com/doi/abs/10.1559/152304089783875640,http://dx.doi.org/10.1559/152304089783875640,,10.1559/152304089783875640,2015402155,,0,,2
032-909-698-015-648,Bekämpfung — Organisation — Behandlungserfolge (Statistik 2),1942-05-01,1942,journal article,Journal of Cancer Research and Clinical Oncology,01715216; 14321335,Springer Science and Business Media LLC,,null Tobler; null Nölke; H. Kolbow; C. Kruchen; null Sandera; null Mühlbock,,52,S3,146,148,,,,,,,http://dx.doi.org/10.1007/bf01639556,,10.1007/bf01639556,,,0,,0
033-006-900-501-092,Einzelreferate und Buchbesprechungen,,1925,journal article,Klinische Wochenschrift,00232173; 14321440,Springer Science and Business Media LLC,,null Petersen; null Tönnis; Erich Meyer; null Tobler; null Halberstaedter; null Griesbach; null Dietrich; null Sperling; null Putter; null Holzer; null Seligmann; null Edens; null Herzfeld; null Peiper; null Grassheim; null Deusch; null Oppenheimer; null Bernhardt; H. Hirschfeld; null Weigert; null Adler; null Voelcker; W. Israel; null Lichtenberg; null Warsow; Erich Langer; null Straus; null Schübel; O. Wiener,,4,14,662,669,,,,,,,http://dx.doi.org/10.1007/bf01736663,,10.1007/bf01736663,,,0,,0
033-086-839-800-976,Einzelreferate und Buchbesprechungen,,1924,journal article,Klinische Wochenschrift,00232173; 14321440,Springer Science and Business Media LLC,,null Eckstein; null Tobler; null Langer; null Ulrici; null Weigert; null Simon; null Hellwig; null Edens; null Herzfeld; null Rosenow; null Becker; A. W. Fischer; null Frik; C. Noorden; null Griesbach; null Thannhauser; V. Lichtenberg; null Israel; R. Hirschfeld; null Henning; O. Wiener; null Fischer; null Friedemann; null Steiner,,3,8,329,332,,,,,,,http://dx.doi.org/10.1007/bf01754433,,10.1007/bf01754433,,,0,,0
033-826-067-737-84X,The Global Demography Project (95-6),1995-04-01,1995,,,,,,Waldo R. Tobler; Uwe Deichmann; Jon Gottsegen; Kelly Maloy,"Demographic information is usually provided on a national basis. But we know that countries are ephemeral phenomena. As an alternate scheme one might use ecological zones rather than nation states. But there is no agreement as to what these zones should be. By way of contrast global environmental studies using satellites as collection devices yield results indexed by latitude and longitude. Thus it makes sense to assemble the terrestrial arrangement of people in a compatible manner. This alternative is explored here, using latitude/longitude quadrilaterals as bins for population information. This data format also has considerable advantage for analytical studies. The report is in three parts. Part I gives the motivation and several possible approaches. Ways of achieving the objective include, among others, simple centroid sorts, interpolation, or gridding of polygons. In Part 11 the results to date of putting world boundary coordinates together with estimates of the number of people is described. The estimated 1994 population of two hundred seventeen countries, subdivided into nineteen thousand thirty two polygons, have been assigned to five minute by five minute quadrilaterals covering the world. The grid extends from latitude fifty seven degrees south to seventy two degrees north latitude, and covers three hundred and sixty degrees of longitude. Just under thirty one percent of the (1548 by 4320) grid cells are populated. The number of people in these countries is estimated to be five billion six hundred eighteen million, spread over one hundred thirty two million square kilometers of land. Part III describes needed extensions, and the appendices contain detailed information on our results with maps and data sources.",,,,,Square (unit); Latitude; Geographic coordinate system; Boundary (real estate); Geography; Longitude; Population; Grid cell; Kilometer; Cartography,,,,,https://escholarship.org/content/qt0kt69058/qt0kt69058.pdf https://escholarship.org/uc/item/0kt69058,https://escholarship.org/uc/item/0kt69058,,,2770311075,,0,,10
034-410-633-486-772,Einzelreferate und Buchbesprechungen,,1922,journal article,Klinische Wochenschrift,00232173; 14321440,Springer Science and Business Media LLC,,G. Rosenow; null Flaskamp; null Edens; H. Hirschfeld; null Leuingen; null Steiner; null Herzfeld; null Oppenheimer; null Koenigsfeld; null Schübel; null Starkenstein; null Peiper; null Hellwig; null Neisser; null Dietrich; null Finkenrath; null Nick; null Buschke; null Deusch; null Braun; null Friedberg; null Eckstein; null Benthin; null Schrader; null Kuhn; null Kobrak; null Jahnel; null Jaffé; null Juliusberg; null Tobler; null Simon; null Meyer; null Goldstein; null Esch; null Tonndorf; null Sturmann; null Nühsmann; null Preuss; null Korach; null Ziemke; null Christeller; null Koch,,1,38,1910,1921,,,,,,,http://dx.doi.org/10.1007/bf01713968,,10.1007/bf01713968,,,0,,0
034-846-978-342-421,Locust bean gum (Nestargel Nestlé) in the treatment of hypertrophic pyloric stenosis.,,1949,journal article,Annales paediatrici. International review of pediatrics,03654966,,Switzerland,W Tobler,,172,4,224,226,Internal medicine; Muscle hypertrophy; Constriction; Pylorus; Locust bean gum; Hypertrophic Pyloric Stenosis; Medicine; Gastroenterology,PYLORUS/hypertrophy and stenosis,"Constriction, Pathologic; Humans; Hypertrophy; Pylorus",,,https://www.ncbi.nlm.nih.gov/pubmed/18130172 https://pubmed.ncbi.nlm.nih.gov/18130172/,https://www.ncbi.nlm.nih.gov/pubmed/18130172,18130172,,3089409563,,0,,0
035-135-071-502-410,Computerized Quantitative Analysis of Kinetic Visual Fields,1986-04-15,1986,journal article,American journal of ophthalmology,00029394; 18791891,Elsevier USA,Netherlands,Richard G. Weleber; Waldo R. Tobler,,101,4,461,468,Optics; Artificial intelligence; Equidistant; Azimuth; Solid angle; Map projection; Projection (set theory); Visual field; Computer vision; Computer science; Distortion (optics); Blind spot,,Computers; Humans; Visual Field Tests,,NCRR NIH HHS (S07 RR05412) United States,https://pubmed.ncbi.nlm.nih.gov/3963107/ https://europepmc.org/article/MED/3963107 https://ohsu.pure.elsevier.com/en/publications/computerized-quantitative-analysis-of-kinetic-visual-fields-2 https://www.ncbi.nlm.nih.gov/pubmed/3963107 https://www.sciencedirect.com/science/article/pii/0002939486906483,http://dx.doi.org/10.1016/0002-9394(86)90648-3,3963107,10.1016/0002-9394(86)90648-3,2058251608,,0,001-975-131-845-414; 003-630-633-758-037; 008-841-101-850-897; 053-002-094-939-002; 055-663-016-234-155; 056-191-696-101-64X; 062-596-321-194-440; 067-951-648-163-73X; 112-826-952-121-54X; 128-928-619-067-736; 133-781-751-534-650,35
036-008-876-574-045,DEPICTING FEDERAL FISCAL TRANSFERS,,1981,journal article,The Professional Geographer,00330124; 14679272,Informa UK Limited,United Kingdom,Waldo R. Tobler,"A method is described for cartographically illustrating interstate flows of federal monies within the contiguous United States, using as data the differences between government collections and expenditures by state. It is assumed that movements between surplus and deficit areas are governed by a potential field, for which the driving potential can be interpreted as political “strength.'’Resulting computer-drawn maps reveal Frostbelt-Sunbelt flows as well as flows toward New England and Washington state. The cumulated total movement, or flux, yields a 48-by-48 table of interstate transfers. These are likewise mapped by computer, the state centroids being connected by arrows whose width is proportional to the magnitude of flows.",33,4,419,422,Regional science; Government; Economics; State (polity); Potential field; New england; Cartography; Magnitude (mathematics); Politics,,,,,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.0033-0124.1981.00419.x,http://dx.doi.org/10.1111/j.0033-0124.1981.00419.x,,10.1111/j.0033-0124.1981.00419.x,2088820125,,0,049-911-391-135-995; 067-280-518-231-71X; 068-000-335-799-561; 118-971-505-811-687; 166-331-477-536-555,10
036-295-545-497-238,A DIGITAL TERRAIN LIBRARY.,1968-03-01,1968,,,,,,Waldo R. Tobler; Charles Moler Davis,"Abstract : The need for a digital terrain library of modest size for exploratory investigations has remained. The current effort is an attempt in this direction and was undertaken as a more or less isolated sub-project of a larger study. In keeping with these general objectives, the size of each described portion of terrain is relatively small. The specific parcels were chosen to represent distinct physiographic types by selection from the U.S. Geological Survey set of 100 topographic maps illustrating physiographic features in the United States. No attempt at analysis of the resulting data are reported in this document. (Author)",,,,,Terrain; Current (stream); Set (abstract data type); Geography; Geological survey; Cartography; Remote sensing; Selection (genetic algorithm),,,,,,,,,224848181,,0,,5
036-459-713-568-305,Geographical Variances,2010-09-03,2010,journal article,Geographical Analysis,00167363; 15384632,Wiley,United States,H. Moellering; W. Tobler,,4,1,34,50,Computer science,,,,,http://onlinelibrary.wiley.com/doi/10.1111/j.1538-4632.1972.tb00455.x/references,http://dx.doi.org/10.1111/j.1538-4632.1972.tb00455.x,,10.1111/j.1538-4632.1972.tb00455.x,3188209849,,0,010-424-702-550-085; 030-093-631-991-87X; 042-026-706-195-778; 062-023-249-191-430; 079-555-401-016-560; 080-929-212-888-051; 106-886-542-149-600; 109-126-066-519-89X; 114-621-420-629-792; 136-919-746-078-193; 138-681-119-043-827; 144-447-783-616-816; 166-843-355-202-804; 167-035-547-919-042; 187-883-335-897-600; 188-841-690-986-57X,80
037-658-322-956-077,SIGGRAPH - Comparing figures by regression,,1978,conference proceedings article,Proceedings of the 5th annual conference on Computer graphics and interactive techniques  - SIGGRAPH '78,,ACM Press,,Waldo R. Tobler,"A procedure is described to obtain an empirical transformation regressing an independent plane configuration against a similar dependent configuration. As implemented the procedure constructs the mapping by estimating two bivariate tables, with arguments on a square lattice interpolated from the irregularly arranged original observations. The tables are constructed so that the transformation has smooth derivatives and so as to agree, as nearly as possible, with the empirical data. The curvilinear regression coefficients are represented a spatially varying, but coordinate invariant, second order tensor field. Bidimensional regression can automatically be illustrated by a warped coordinate grid, by comparison of the original configuration and the regression estimate, by a field of displacement vectors, by a diagram of the principal strains, and by a contour map. Intermediate configurations and extrapolations are also available.",12,3,193,195,Transformation (function); Mathematical analysis; Tensor field; Plane (geometry); Geometry; Mathematics; Segmented regression; Linear regression; Invariant (mathematics); Contour line; Curvilinear coordinates,,,,,https://dl.acm.org/doi/10.1145/800248.807389 https://dblp.uni-trier.de/db/conf/siggraph/siggraph1978.html#Tobler78 https://doi.org/10.1145/800248.807389 http://portal.acm.org/citation.cfm?doid=800248.807389,http://dx.doi.org/10.1145/800248.807389,,10.1145/800248.807389,2001659298,,0,043-655-404-833-947; 087-462-977-133-580; 091-674-132-126-839; 138-222-570-186-82X,12
037-859-925-934-513,Literatur,,1919,journal article,Zeitschrift für Untersuchung der Nahrungs- und Genußmittel,14382377; 14382385,Springer Science and Business Media LLC,,J. Tillmans; E. Dinslage; null Tobler,,38,7-8,236,239,,,,,,,http://dx.doi.org/10.1007/bf02038698,,10.1007/bf02038698,,,0,,0
038-490-623-625-474,Einzelreferate und Buchbesprechungen,,1924,journal article,Klinische Wochenschrift,00232173; 14321440,Springer Science and Business Media LLC,,H. Braus; Eugen Fischer; null Petersen; null Tobler; null Dietrich; null Koch; W. Heubner; null Oppenheimer; null Schübel; null Herzfeld; A. W. Fischer; null Prinzing; null Eckstein; null Braun; G. Katsch; null Dessecker; null Becker; null Schlesinger; null Freudenberg; null v. Jaschke; null Schrader; null Jonas; null Buschke; null Heyn; null Finkenrath; Emil Neisser; null Meyer; O. Wiener; null Wiener; null Jahnel; null Mendel; null Friedemann; null Fischer; null Hellwig; null Bumke; null Goldstein; null Steindorff; null Igersheimer,,3,4,161,170,,,,,,,http://dx.doi.org/10.1007/bf01848381,,10.1007/bf01848381,,,0,,0
038-911-591-846-944,Die Diathermie in der Behandlung des Pylorospasmus der Säuglinge,,1924,journal article,Zeitschrift für Kinderheilkunde,03406199; 14321076,Springer Science and Business Media LLC,Germany,W. Tobler,,38,3,285,292,Gynecology; Medicine,,,,,https://link.springer.com/content/pdf/10.1007/BF02230863.pdf https://link.springer.com/article/10.1007/BF02230863,http://dx.doi.org/10.1007/bf02230863,,10.1007/bf02230863,1967181480,,0,,1
038-941-032-259-417,Computer use in geography.,2007-01-17,2007,journal article,Behavioral science,00057940; 10991743; 10927026,Behavioral Neuropsychiatry,United States,Waldo R. Tobler,"Computer manipulation of geographical data involves record matching, testing of theories, production of maps, and spatial pattern analysis. A brief review is presented of the operational status of computer programs in these areas.",12,1,57,58,Matching (statistics); Electronic data processing; Data science; Computer science,,Computers; Electronic Data Processing; Geography; Statistics as Topic,,,https://onlinelibrary.wiley.com/doi/10.1002/bs.3830120108/abstract https://pubmed.ncbi.nlm.nih.gov/6031486/ https://www.ncbi.nlm.nih.gov/pubmed/6031486 https://europepmc.org/article/MED/6031486,http://dx.doi.org/10.1002/bs.3830120108,6031486,10.1002/bs.3830120108,2013489405,,0,,3
040-926-040-220-447,Satellite confirmation of settlement size coefficient,,1968,other,Open-File Report,23311258,US Geological Survey,,Waldo R. Tobler,,,,,,Physical geography; Settlement (structural); Satellite; Geography,,,,,https://www.jstor.org/stable/20000359,http://dx.doi.org/10.3133/ofr69285,,10.3133/ofr69285,98796014,,0,046-943-580-019-501; 075-489-909-616-083; 125-119-037-730-463,75
040-955-914-012-730,"Qibla, and Related, Map Projections",,2002,journal article,Cartography and Geographic Information Science,15230406; 15450465,Informa UK Limited,United Kingdom,Waldo R. Tobler,"The qibla problem—determination of the direction to Mecca—has given rise to retro-azimuthal map projections, an interesting, albeit unusual and little known, class of map projections. Principal contributors to this subject were Craig and Hammer, both writing in 1910. A property of retro-azimuthal projections is that the parallels are bent downwards towards the equator. The resulting maps, when extended to the entire world, thus must overlap themselves. An unusual recent discovery from Iran suggests that Muslims might have been prior inventors of a similar projection, by at least several centuries. A later corollary by Schoy leads to a new ""cylindrical"" azimuthal map projection with parallels bending away from the equator, here illustrated for the first time.",29,1,17,23,Equator; Bent molecular geometry; Map projection; Geography; Geometry; Parallels; Class (philosophy); Qibla; Corollary; Projection (mathematics),,,,,https://www.tandfonline.com/doi/abs/10.1559/152304002782064574,http://dx.doi.org/10.1559/152304002782064574,,10.1559/152304002782064574,2064626263,,0,,6
041-182-857-182-825,Entwicklung der NO2-Emissionen des Strassenverkehrs in Oesterreich und Deutschland sowie deren Auswirkungen auf die Luftqualitaetsziele,,2014,,,,,,W Tobler,"Als direkte und indirekte umwelt- und klimarelevante rechtliche Rahmenbedingungen des motorisierten Strassenverkehrs wurden in der Arbeit die Emissions- und Immissionsgesetzgebung sowie energiepolitische Massnahmen beziehungsweise Regulierungen identifiziert und analysiert. Die zur Beurteilung des weiteren Handlungsbedarfs erstellten Emissionsberechnungen beziehungsweise -prognosen und der Vergleich mit der Immissionsentwicklung zeigen auf, dass bei den chemischen Komponenten Kohlenmonoxid CO, Stickstoffoxide NOx, Partikel PM und Schwefeldioxid SO2 kein weiterer Handlungsbedarf, welcher ueber die bereits fixierten Regelungen hinausgeht, besteht. Die Emissions- beziehungsweise Immissionsentwicklungen der chemischen Komponenten Stickstoffdioxid NO2 und Kohlendioxid CO2 sind hingegen als kritisch einzustufen. Von einer Einhaltung des ab 2010/2015 fuer NO2 geltenden europaeischen Immissionsgrenzwerts ist an verkehrsnahen Messstellen ab 2017 bis 2019 auszugehen. Die Einhaltung des ab 2012 geltenden oesterreichischen NO2 Immissions-Grenzwerts ist ab 2022 bis 2023 zu erwarten. (A) (Beitrag zu "" Der Beitrag des Strassenverkehrs zur NOx- und Partikelemission: sind die Grenzen der Abgasgesetzgebung erreicht?"")",,,,,,,,,,https://trid.trb.org/view/1368813,https://trid.trb.org/view/1368813,,,2568559116,,0,,0
041-412-663-882-840,Reconstructing Population Density Surfaces from Areal Data: A Comparison of Tobler's Pycnophylactic Interpolation Method and Area-to-Point Kriging,2010-01-25,2010,journal article,Geographical Analysis,00167363; 15384632,Wiley,United States,Eun-Hye Yoo; Phaedon C. Kyriakidis; Waldo R. Tobler,"We compare Tobler's pycnophylactic interpolation method with the geostatistical approach of area-to-point kriging for distributing population data collected by areal unit in 18 census tracts in Ann Arbor for 1970 to reconstruct a population density surface. In both methods, (1) the areal data are reproduced when the predicted population density is upscaled; (2) physical boundary conditions are accounted for, if they exist; and (3) inequality constraints, such as the requirement of non-negative point predictions, are satisfied. The results show that when a certain variogram model, that is, the de Wijsian model corresponding to the free-space Green's function of Laplace's equation, is used in the geostatistical approach under the same boundary condition and constraints with Tobler's approach, the predicted population density surfaces are almost identical (up to numerical errors and discretization discrepancies). The implications of these findings are twofold: (1) multiple attribute surfaces can be constructed from areal data using the geostatistical approach, depending on the particular point variogram model adopted—that variogram model need not be the one associated with Tobler's solution and (2) it is the analyst's responsibility to justify whether the smoothness criterion employed in Tobler's approach is relevant to the particular application at hand. A notable advantage of the geostatistical approach over Tobler's is that it allows reporting the uncertainty or reliability of the interpolated values, with critical implications for uncertainty propagation in spatial analysis operations.; ; ; ; Reconstruccion de superficies de densidad de poblacion a partir de datos areales. Una comparacion entre la interpolacion picnofilactica de Tobler y krigeaje de area a punto (area-to-point kriging); ; ; ; En el presente estudio compara el metodo de interpolacion picnofilactica uniforme de Tobler con el metodo geostadistico de krigeaje de area a punto (area-to-point kriging). Los dos metodos son aplicados a la distribucion de datos de poblacion de 1970 recolectados en 18 unidades areales censales (census tracts) en Anne Arbor (Michigan, EEUU) con el fin de reconstruir la superficie de densidad poblacional. Los autores muestran que ambos metodos: (1) reproducen los datos areales cuando la poblacion estimada es agregada a escalas mas gruesas; (2) toman en cuenta los limites o bordes fisicos si es que estos existen; y, 3) satisfacen restricciones (condicionantes) de inequidad como por ejemplo, el requisito que los estimados sean mayores a 0 (cero), Los resultados muestran que cuando se utiliza el modelo de variograma deWijsian con las mismas restricciones de limites que el metodo de Tobler, las superficies de densidad de poblacion pronosticadas son casi identicas .El variograma deWijsian corresponde a la funcion Green en la ecuacion de Laplace.; ; ; ; Los resultados obtenidos tienen implicaciones de dos tipos: (1) se pueden construir multiples superficies de atributos de datos areales (como poblacion) utilizando metodos geostadisticos, dependiendo de modelo de variograma especifico que se utilice; y, (2) el investigador tiene la responsabilidad de justificar y evaluar si el criterio de suavizado (smoothness) utilizado en el metodo de Tobler es relevante para la aplicacion especifica que se lleva a cabo. Una ventaja notable del metodo geostadistico sobre el de Tobler es que proporciona informacion referente a la incertidumbre o fiabilidad de los valores interpolados. Esta caracteristica tiene consecuencias criticas en la propagacion de dicha incertidumbre (o error) en las operaciones de analisis espaciales subsiguientes.; ; ; ; 本文以 密歇根州安娜堡地区1970年18个人口普查分区的面状人口分布数据重构人口密度面为例，对Tobler’s pycnophylactic插值法和面到点的克里金地统计方法进行了对比。两种方法的共同点为：1）当预估的人口密度提高时，面状数据都是重新生成的；2）圴考虑了存在的自然边界条件；3）均满足不等式约束条件，例如预测点非负的要求。试验结果表明，在和 Tobler’s 方法具有相同的边界条件和约束时，当某一方差模型（即对应于拉普拉斯方程中自由空间的格林函数的deWijsian模型）被应用到地统计学方法中时，两种方法所预测的人口密度面大致相同（取决于数值误差和离散化差异）。这些研究结果具有双重启示：1）采用地统计学方法能够重构多重属性面，依赖于所采用的特定的点方差模型，而方差模型的选取并非一定要与Tobler’s的解决方案有关；2）Tobler’s方法中所采用的平滑准则是否需要进行调整是分析人员决定的，并与分析者特定应用有关。地统计学方法相对于Tobler’s统计方法的一个显著优势在于它能够返回插值的不确定性或可靠性，这对于空间分析运算中不确定性传播具有至关重要的影响。",42,1,78,98,Humanities; Interpolation; Mathematics; Kriging,,,,,https://onlinelibrary.wiley.com/doi/10.1111/j.1538-4632.2009.00783.x,http://dx.doi.org/10.1111/j.1538-4632.2009.00783.x,,10.1111/j.1538-4632.2009.00783.x,1889102735,,0,001-844-046-023-336; 002-899-126-308-432; 006-326-611-590-002; 014-274-989-923-911; 018-071-236-536-605; 018-239-900-910-666; 024-764-316-857-264; 027-534-153-588-463; 030-890-283-381-582; 033-996-500-388-567; 036-952-491-247-889; 040-454-167-296-091; 043-440-163-799-259; 045-946-781-785-242; 053-643-206-142-867; 055-043-983-984-878; 061-815-968-671-659; 062-816-850-163-262; 066-279-868-779-617; 081-673-402-045-602; 083-151-249-615-756; 083-878-852-148-336; 088-560-357-894-122; 100-589-807-103-626; 101-434-949-448-611; 105-132-839-221-549; 108-308-588-785-838; 144-793-962-368-901; 149-721-574-034-781; 153-163-613-109-338; 158-345-905-240-396; 159-096-514-056-331; 160-610-364-354-169; 171-605-639-517-223; 194-120-168-811-483,27
041-658-614-339-032,A Computer Movie Simulating Urban Growth in the Detroit Region,,1970,journal article,Economic Geography,00130095,JSTOR,United Kingdom,Waldo R. Tobler,"(1970). A Computer Movie Simulating Urban Growth in the Detroit Region. Economic Geography: Vol. 46, PROCEEDINGS International Geographical Union Commission on Quantitative Methods, pp. 234-240.",46,,234,240,Tobler's first law of geography; Advertising; Regional science; Political science; Distance decay; Commission; Geographically Weighted Regression,,,,,https://dds.cepal.org/infancia/guia-para-estimar-la-pobreza-infantil/bibliografia/capitulo-IV/Tobler%20Waldo%20(1970)%20A%20computer%20movie%20simulation%20urban%20growth%20in%20the%20Detroit%20region.pdf https://www.jstor.org/stable/pdfplus/143141.pdf https://www.geog.ucsb.edu/%7Etobler/publications/pdf_docs/A-Computer-Movie.pdf https://www.tandfonline.com/doi/abs/10.2307/143141,http://dx.doi.org/10.2307/143141,,10.2307/143141,1973749534,,3,007-813-359-053-719; 022-663-308-462-814; 028-908-889-495-526; 044-053-349-999-562; 047-637-289-992-841; 050-886-608-189-358; 062-489-023-024-204; 067-873-299-956-49X; 069-864-251-947-103; 075-489-909-616-083; 089-458-612-835-898; 104-061-492-889-854; 117-251-578-928-673; 124-094-599-938-552; 124-468-163-649-104; 125-769-458-479-427; 149-397-375-481-835; 168-932-888-637-656; 185-220-438-789-231; 186-065-869-931-219; 189-613-203-700-725; 193-012-993-757-435,5478
